"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL26045";"";"None";"310.39";"0";"3.17";"trans-4";"CCOC(=O)[C@@]1(Cc2ccccc2)S[C@@H](F)C(C)(C)C1=O";"IC50";"'='";"1.27";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL818200";"Concentration required for in vitro inhibitory activity against human type II phospholipase A2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150013";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"1.27"
"CHEMBL148674";"VARESPLADIB";"2.0";"380.40";"0";"2.38";"1, LY-315920";"CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"18.98";"0.35";"4.84";"6.47";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"60.0"
"CHEMBL514705";"";"None";"458.51";"0";"4.17";"12f";"CC(C)Cc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cc3ccccc3c2n1Cc1ccccc1";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"15.48";"0.29";"2.93";"6.36";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"80.0"
"CHEMBL514841";"";"None";"386.45";"0";"4.08";"14a";"CCc1c(C(=O)C(N)=O)c2c(OC)cc3ccccc3c2n1Cc1ccccc1";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"18.36";"0.33";"3.02";"9.55";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"80.0"
"CHEMBL34162";"";"None";"504.65";"2";"8.63";"14b";"CCCCCCCCCCCCCCCCCCOP(=O)(O)c1cccc2ccc(C(=O)O)cc12";"IC50";"'='";"3900.0";"nM";"5.41";"";"";"UO_0000065";"10.72";"0.21";"-3.22";"6.45";"0";"CHEMBL802919";"Compound was measured for the inhibitory activity against secretory-phospholipase A2 (s-PLA2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151015";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"3.9"
"CHEMBL280817";"";"None";"474.53";"1";"6.33";"18";"CCCCCCCCCCOP(=O)(O)c1cc(OCc2ccccc2)ccc1/C=C/C(=O)O";"IC50";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"11.27";"0.22";"-0.98";"5.75";"0";"CHEMBL802918";"Compound was measured for the inhibitory activity against Secretory phospholipase A 2 (s-PLA2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151015";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"4.5"
"CHEMBL285776";"";"None";"310.39";"0";"3.17";"cis-4";"CCOC(=O)[C@@]1(Cc2ccccc2)S[C@H](F)C(C)(C)C1=O";"IC50";"'='";"0.21";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL818200";"Concentration required for in vitro inhibitory activity against human type II phospholipase A2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150013";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"0.21"
"CHEMBL33408";"";"None";"268.19";"0";"3.28";"10";"O=C(O)c1ccc2cccc(C(=O)C(F)(F)F)c2c1";"IC50";"'='";"2400.0";"nM";"5.62";"";"";"UO_0000065";"20.95";"0.40";"2.34";"10.34";"0";"CHEMBL802918";"Compound was measured for the inhibitory activity against Secretory phospholipase A 2 (s-PLA2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151015";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"2.4"
"CHEMBL517821";"";"None";"454.53";"0";"4.40";"16b";"CCc1c(C(=O)C(N)=O)c2c(OCC(C)=O)cccn2c1Cc1ccccc1-c1ccccc1";"IC50";"'>'";"1300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"1300.0"
"CHEMBL478821";"";"None";"412.49";"0";"4.44";"16c";"CCc1c(C(=O)C(N)=O)c2c(OC)cccn2c1Cc1ccccc1-c1ccccc1";"IC50";"'>'";"1300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL990828";"Inhibition of human group2D phospholipase A2 by [3H]oleic acid-labeled Escherichia coli membrane assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4281";"Group IID secretory phospholipase A2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155819";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"1300.0"
