Name,MOA,Target,SMILES,Phase,cleaned_smiles,Predicted_pChEMBL
aceclofenac,prostanoid receptor antagonist,PTGS2,"OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl, OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl, OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl, OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl",Launched,OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,8.173434708968493
fosphenytoin,sodium channel blocker,SCN5A,"OP(O)(=O)OCN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1, OP(O)(=O)OCN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1, OP(O)(=O)OCN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1",Launched,OP(O)(=O)OCN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1,8.16213615059175
ACT-132577,endothelin receptor antagonist,"EDNRA, EDNRB","NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1, NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1, NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1",Launched,NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,8.156311917914735
haloprogin,other antifungal,,"Clc1cc(Cl)c(OCC#CI)cc1Cl, Clc1cc(Cl)c(OCC#CI)cc1Cl, Clc1cc(Cl)c(OCC#CI)cc1Cl",Launched,Clc1cc(Cl)c(OCC#CI)cc1Cl,8.118680303055928
fenbufen,cyclooxygenase inhibitor,"PTGS1, PTGS2","OC(=O)CCC(=O)c1ccc(cc1)-c1ccccc1, OC(=O)CCC(=O)c1ccc(cc1)-c1ccccc1",Launched,OC(=O)CCC(=O)c1ccc(cc1)-c1ccccc1,8.104022514440782
paracetamol,cyclooxygenase inhibitor,"FAAH, PTGS1, PTGS2, TRPV1","CC(=O)Nc1ccc(O)cc1, CC(=O)Nc1ccc(O)cc1, CC(=O)Nc1ccc(O)cc1, CC(=O)Nc1ccc(O)cc1, CC(=O)Nc1ccc(O)cc1, CC(=O)Nc1ccc(O)cc1, CC(=O)Nc1ccc(O)cc1",Launched,CC(=O)Nc1ccc(O)cc1,8.104022514440782
resorcinol-monoacetate,antiseptic,,"CC(=O)Oc1cccc(O)c1, CC(=O)Oc1cccc(O)c1",Launched,CC(=O)Oc1cccc(O)c1,8.104022514440782
methyl-salicylate,,,"COC(=O)c1ccccc1O, COC(=O)c1ccccc1O",Launched,COC(=O)c1ccccc1O,8.104022514440782
oxiconazole,bacterial cell wall synthesis inhibitor,,"Clc1ccc(CO\N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1, Clc1ccc(CO\N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1",Launched,Clc1ccc(CO\N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,8.102154170475727
etoricoxib,cyclooxygenase inhibitor,PTGS2,"Cc1ccc(cn1)-c1ncc(Cl)cc1-c1ccc(cc1)S(C)(=O)=O, Cc1ccc(cn1)-c1ncc(Cl)cc1-c1ccc(cc1)S(C)(=O)=O",Launched,Cc1ccc(cn1)-c1ncc(Cl)cc1-c1ccc(cc1)S(C)(=O)=O,8.088849247274181
tranilast,angiogenesis inhibitor,"HPGDS, HRH1","COc1ccc(\C=C\C(=O)Nc2ccccc2C(O)=O)cc1OC, COc1ccc(\C=C\C(=O)Nc2ccccc2C(O)=O)cc1OC, COc1ccc(\C=C\C(=O)Nc2ccccc2C(O)=O)cc1OC, COc1ccc(\C=C\C(=O)Nc2ccccc2C(O)=O)cc1OC, COc1ccc(\C=C\C(=O)Nc2ccccc2C(O)=O)cc1OC, COc1ccc(\C=C\C(=O)Nc2ccccc2C(O)=O)cc1OC",Launched,COc1ccc(\C=C\C(=O)Nc2ccccc2C(O)=O)cc1OC,8.08393569592867
methylparaben,other antifungal,,"COC(=O)c1ccc(O)cc1, COC(=O)c1ccc(O)cc1",Launched,COC(=O)c1ccc(O)cc1,8.083762537636861
nitrofurantoin,DNA inhibitor,,"[O-][N+](=O)c1ccc(\C=N\N2CC(=O)NC2=O)o1, [O-][N+](=O)c1ccc(\C=N\N2CC(=O)NC2=O)o1, [O-][N+](=O)c1ccc(\C=N\N2CC(=O)NC2=O)o1",Launched,[O-][N+](=O)c1ccc(\C=N\N2CC(=O)NC2=O)o1,8.083762537636861
sulfacetamide,PABA antagonist,,"CC(=O)NS(=O)(=O)c1ccc(N)cc1, CC(=O)NS(=O)(=O)c1ccc(N)cc1, CC(=O)NS(=O)(=O)c1ccc(N)cc1",Launched,CC(=O)NS(=O)(=O)c1ccc(N)cc1,8.083762537636861
iobenguane,antineoplastic agent,,"NC(=N)NCc1cccc(I)c1, NC(=N)NCc1cccc(I)c1, NC(=N)NCc1cccc(I)c1",Launched,NC(=N)NCc1cccc(I)c1,8.083762537636861
riluzole,glutamate inhibitor,"KCNK10, KCNK2, KCNK4, KCNN4, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A, SLC7A11","Nc1nc2ccc(OC(F)(F)F)cc2s1, Nc1nc2ccc(OC(F)(F)F)cc2s1, Nc1nc2ccc(OC(F)(F)F)cc2s1, Nc1nc2ccc(OC(F)(F)F)cc2s1",Launched,Nc1nc2ccc(OC(F)(F)F)cc2s1,8.083762537636861
acetarsol,,,"CC(=O)Nc1cc(ccc1O)[As](O)(O)=O, CC(=O)Nc1cc(ccc1O)[As](O)(O)=O, CC(=O)Nc1cc(ccc1O)[As](O)(O)=O",Launched,CC(=O)Nc1cc(ccc1O)[As](O)(O)=O,8.083762537636861
acedapsone,,,"CC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(NC(C)=O)cc1, CC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(NC(C)=O)cc1",Launched,CC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(NC(C)=O)cc1,8.083762537636861
dinitolmide,,,"Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(N)=O, Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(N)=O",Launched,Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(N)=O,8.083762537636861
bendazac,cyclooxygenase inhibitor,"PTGS1, PTGS2",OC(=O)COc1nn(Cc2ccccc2)c2ccccc12,Launched,OC(=O)COc1nn(Cc2ccccc2)c2ccccc12,8.083762537636861
azathioprine,dehydrogenase inhibitor,"HPRT1, IMPDH1, PPAT","Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O, Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O, Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O, Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O, Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O, Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O, Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O",Launched,Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+]([O-])=O,8.080533297486419
carbendazim,"microtubule inhibitor, tubulin polymerization inhibitor","TP53, TUBB","COC(=O)Nc1nc2ccccc2[nH]1, COC(=O)Nc1nc2ccccc2[nH]1",Launched,COC(=O)Nc1nc2ccccc2[nH]1,8.05856655661703
clofazimine,GK0582 inhibitor,,"CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1, CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1, CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1, CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1",Launched,CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1,8.05856655661703
rosmarinic-acid,GABA transaminase inhibitor,"MCL1, TYR","OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1, OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1, OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1, OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1",Launched,OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1,8.05856655661703
oxaprozin,cyclooxygenase inhibitor,"PTGS1, PTGS2","OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1, OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1, OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1",Launched,OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1,8.05856655661703
diloxanide,protein synthesis inhibitor,,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,Launched,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,8.034074386616275
mequinol,,TYR,"COc1ccc(O)cc1, COc1ccc(O)cc1, COc1ccc(O)cc1",Launched,COc1ccc(O)cc1,8.032910132742575
pralidoxime,acetylcholinesterase inhibitor,"ACHE, BCHE","C[n+]1ccccc1\C=N\O, C[n+]1ccccc1\C=N\O, C[n+]1ccccc1\C=N\O, C[n+]1ccccc1\C=N\O",Launched,C[n+]1ccccc1\C=N\O,8.030413611551918
inositol-hexanicotinate,,,"O=C(O[C@H]1[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@@H]1OC(=O)c1cccnc1)c1cccnc1, O=C(O[C@H]1[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@@H]1OC(=O)c1cccnc1)c1cccnc1, O=C(O[C@H]1[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@@H]1OC(=O)c1cccnc1)c1cccnc1",Launched,O=C(O[C@H]1[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@@H]1OC(=O)c1cccnc1)c1cccnc1,8.030413611551918
flunixin-meglumin,prostanoid receptor antagonist,,"Cc1c(Nc2ncccc2C(O)=O)cccc1C(F)(F)F, Cc1c(Nc2ncccc2C(O)=O)cccc1C(F)(F)F, Cc1c(Nc2ncccc2C(O)=O)cccc1C(F)(F)F",Launched,Cc1c(Nc2ncccc2C(O)=O)cccc1C(F)(F)F,8.030413611551918
tiludronate,"bone resorption inhibitor, osteoclast inhibitor","ATP6V1A, MMP2, PTPN1","OP(O)(=O)C(Sc1ccc(Cl)cc1)P(O)(O)=O, OP(O)(=O)C(Sc1ccc(Cl)cc1)P(O)(O)=O",Launched,OP(O)(=O)C(Sc1ccc(Cl)cc1)P(O)(O)=O,8.030413611551918
benzyl-alcohol,local anesthetic,,"OCc1ccccc1, OCc1ccccc1",Launched,OCc1ccccc1,8.030413611551918
naftifine,fungal squalene epoxidase inhibitor,,"CN(C\C=C\c1ccccc1)Cc1cccc2ccccc12, CN(C\C=C\c1ccccc1)Cc1cccc2ccccc12, CN(C\C=C\c1ccccc1)Cc1cccc2ccccc12, CN(C\C=C\c1ccccc1)Cc1cccc2ccccc12, CN(C\C=C\c1ccccc1)Cc1cccc2ccccc12, CN(C\C=C\c1ccccc1)Cc1cccc2ccccc12",Launched,CN(C\C=C\c1ccccc1)Cc1cccc2ccccc12,8.030413611551918
obidoxime,cholinesterase reactivator,ACHE,"O\N=C\c1cc[n+](COC[n+]2ccc(\C=N\O)cc2)cc1, O\N=C\c1cc[n+](COC[n+]2ccc(\C=N\O)cc2)cc1",Launched,O\N=C\c1cc[n+](COC[n+]2ccc(\C=N\O)cc2)cc1,8.030413611551918
mitotane,antineoplastic agent,"CYP11A1, CYP11B1, ESR1","ClC(Cl)[C@@H](c1ccc(Cl)cc1)c1ccccc1Cl |&1:3,r|, ClC(Cl)[C@@H](c1ccc(Cl)cc1)c1ccccc1Cl |&1:3,r|, ClC(Cl)[C@@H](c1ccc(Cl)cc1)c1ccccc1Cl |&1:3,r|, ClC(Cl)[C@@H](c1ccc(Cl)cc1)c1ccccc1Cl |&1:3,r|, ClC(Cl)[C@@H](c1ccc(Cl)cc1)c1ccccc1Cl |&1:3,r|, ClC(Cl)[C@@H](c1ccc(Cl)cc1)c1ccccc1Cl |&1:3,r|",Launched,ClC(Cl)[C@@H](c1ccc(Cl)cc1)c1ccccc1Cl,8.030413611551918
hydrochlorothiazide,thiazide diuretic,"CA1, CA12, CA2, CA4, CA9, KCNMA1, SLC12A3","NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl, NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl, NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl",Launched,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,8.030413611551918
aspirin,cyclooxygenase inhibitor,"AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53","CC(=O)Oc1ccccc1C(O)=O, CC(=O)Oc1ccccc1C(O)=O, CC(=O)Oc1ccccc1C(O)=O, CC(=O)Oc1ccccc1C(O)=O, CC(=O)Oc1ccccc1C(O)=O",Launched,CC(=O)Oc1ccccc1C(O)=O,8.028762802986636
4-aminohippuric-acid,,SLC22A6,"Nc1ccc(cc1)C(=O)NCC(O)=O, Nc1ccc(cc1)C(=O)NCC(O)=O, Nc1ccc(cc1)C(=O)NCC(O)=O, Nc1ccc(cc1)C(=O)NCC(O)=O, Nc1ccc(cc1)C(=O)NCC(O)=O",Launched,Nc1ccc(cc1)C(=O)NCC(O)=O,8.028762802986636
phenacemide,sodium channel blocker,"SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","NC(=O)NC(=O)Cc1ccccc1, NC(=O)NC(=O)Cc1ccccc1",Launched,NC(=O)NC(=O)Cc1ccccc1,8.028762802986636
tiaprofenic-acid,cyclooxygenase inhibitor,PTGS2,"C[C@@H](C(O)=O)c1ccc(s1)C(=O)c1ccccc1 |&1:1,r|, C[C@@H](C(O)=O)c1ccc(s1)C(=O)c1ccccc1 |&1:1,r|, C[C@@H](C(O)=O)c1ccc(s1)C(=O)c1ccccc1 |&1:1,r|",Launched,C[C@@H](C(O)=O)c1ccc(s1)C(=O)c1ccccc1,8.027460248509753
guacetisal,immunosuppressant,,COc1ccccc1OC(=O)c1ccccc1OC(C)=O,Launched,COc1ccccc1OC(=O)c1ccccc1OC(C)=O,8.021776291881167
tavaborole,leucyl-tRNA synthetase inhibitor,,"OB1OCc2cc(F)ccc12, OB1OCc2cc(F)ccc12, OB1OCc2cc(F)ccc12",Launched,OB1OCc2cc(F)ccc12,8.021027256218193
picotamide,"thromboxane receptor antagonist, thromboxane synthase inhibitor",TBXA2R,"COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1, COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1, COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1, COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1, COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1, COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1",Launched,COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1,8.01066061499305
diazoxide,potassium channel activator,"ATP1A1, CA1, CA2, KCNJ11, KCNJ8, KCNMA1, SLC12A3","CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1 |t:1|, CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1 |t:1|, CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1 |t:1|, CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1 |t:1|, CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1 |t:1|",Launched,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,7.927643688094778
