Complexity,Loss,Equation
1,0.64192253,"6.5280046"
2,0.63085425,"log(x28)"
3,0.24147813,"x203 + 5.8613353"
5,0.20574458,"(x137 + 3.9928722) * 1.4010022"
9,0.17076735,"(x27 + x115) + sqrt(log(x52 + 1.5397089))"
10,0.15789698,"(log(x98 + 8.759946) + (x115 + x27)) / 1.2246684"
12,0.15598527,"(x115 + ((log(x98 + 7.775602) + x27) - -0.5459969)) / 1.2960107"
13,0.1509705,"log(sqrt(x52) + 2.7990694) + (((x2 + x27) + x115) * 0.92493373)"
14,0.11288099,"((x115 + x27) + log(sqrt(x122 + x98))) - sqrt(x77 / x47)"
15,0.10597854,"(x27 + (x115 + log(log(x122 + (x98 * x98))))) - (x77 / x47)"
16,0.08256803,"x27 + ((log(log(x47 + (x98 * x98))) - sqrt(x77 / x94)) + x115)"
17,0.05967623,"x27 + ((log((x98 + 8.512319) * log(x47)) + (x115 - 2.229758)) - (x77 / 7.28718))"
19,0.05052702,"((log((x98 + 8.23368) * log(x47)) + ((x27 - (x77 / 7.4009686)) + x115)) * 0.88738537) - 1.2244345"
