Complexity,Loss,Equation
1,0.64192253,"6.528082"
2,0.63085425,"log(x28)"
3,0.24147813,"x114 + 5.8613353"
5,0.20574456,"(x114 * 1.401012) + 5.5939927"
6,0.13867398,"(x114 * sqrt(x168)) + 5.6173167"
10,0.12279425,"((x168 / x130) + x114) + sqrt(x20 / 0.07675259)"
14,0.11406794,"(x168 / (x130 + -1.1918681)) + sqrt(((x20 + x114) + x194) / 0.084660105)"
15,0.113337584,"sqrt(x3 + sqrt((x20 + x114) / 0.0017582118)) + (x168 / (x130 + -0.7865189))"
17,0.10944625,"sqrt(((x20 + sqrt(x168 * (x114 * (4.2975426 / x45)))) / (x189 - -0.26351348)) / 0.28141966)"
19,0.08518297,"((1.3197389 - x2) * ((x20 + ((x168 + 1.9218086) * (x114 / x45))) / (x189 - -1.0750681))) / 0.48744056"
21,0.06960352,"(1.404615 - x2) * (((((((x168 + 2.1813552) * x114) / x45) + x20) / (x189 - -1.0283098)) + x125) / 0.5622016)"
22,0.06293757,"(1.7941805 - x2) * sqrt(((((x114 * ((x168 + 3.0449626) / x45)) + x20) / (x150 - -1.3020744)) + -0.7511039) / 0.103340074)"
