Complexity,Loss,Equation
1,0.64192253,"6.5280366"
2,0.63085425,"log(x28)"
3,0.24147813,"x203 + 5.8613353"
4,0.22811517,"exp(x147) - -4.382476"
5,0.20574458,"(x147 * 1.4010665) - -5.593938"
6,0.16641794,"(x173 - cos(x81)) - -5.593938"
8,0.13751048,"(sin(-1.517758 - x59) + x203) + 6.560636"
11,0.1346822,"x203 + (sin(-4.23521 - sin(x89 + 4.8027)) + 5.353091)"
13,0.09859717,"((x203 + x203) - sin(-18.396849 / sin(x32 - 32.26138))) + 5.613231"
15,0.08721926,"sin(x25 - (-18.396849 / sin(x32 - 32.26138))) + ((x203 + 5.613231) + x203)"
16,0.08356538,"((x203 + 5.04281) + x203) + sin(sin((x103 / -0.45460677) - sin(x89 + -1.5919212)))"
17,0.055979803,"(sin((x103 / -0.44500327) - sin(x89 + -0.64546347)) + x203) + ((x203 + 3.0337198) * 1.5775081)"
18,0.05120361,"((x203 + 3.186187) * 1.507965) + (x203 + sin(sin((x103 / -0.44573295) - sin(x89 + -0.7753129))))"
19,0.048494745,"(sin((x103 / -0.4386811) - sin(x89 - 0.7920481)) + (((x203 + 3.2806916) * 1.8682003) + x114)) / 1.2452893"
22,0.0427346,"x203 + (((x203 + 3.3408508) * 1.4510314) + sin(sin((x103 / -0.44819695) - sin((x89 + 0.00092396286) - cos(sin(x53))))))"
23,0.041226197,"((x203 + 3.3408508) * 1.4510314) + (x203 + sin(sin((x103 / -0.44819695) - sin(sin(-1.4729111 - sin(exp(x5))) + x89))))"
25,0.040603098,"(((x203 + 3.2570682) * 1.481575) + x203) + sin(sin((x103 / -0.44735032) - sin(x89 + sin(-1.2323306 - sin(cos(exp(sqrt(x128))))))))"
26,0.03884171,"(sqrt(x187 + ((-18.396845 / (32.261383 / x32)) * (x203 / -18.396845))) + (x203 - sin(-18.395521 * (x203 / sin(x32 - 32.262783))))) + 5.6130033"
28,0.03283389,"((x203 + sqrt(x187 + (((-18.396845 / (32.261383 / x32)) * x203) / (x32 - 32.262783)))) - sin(-18.395521 * (x203 / sin(x32 - 32.262783)))) + 5.6130033"
29,0.0328285,"(x203 - sin((x203 / sin(x32 - 32.262783)) * -18.395521)) + (sqrt(x187 + ((-18.396845 / (32.261383 / x32)) * sin(x203 / (x32 - 32.261383)))) + 5.6130033)"
