Complexity,Loss,Equation
1,0.64192253,"6.5280046"
3,0.24147807,"x121 + 5.8613143"
5,0.20574458,"(x121 + 3.9928908) * 1.4009919"
7,0.1616704,"(x121 + cos(cos(x59))) + 5.143848"
8,0.13164666,"((x137 + 3.3450348) + sin(x77)) * 1.6668208"
10,0.13011962,"(((sin(x77) * 1.148376) + 3.3375046) + x137) * 1.6760882"
11,0.10491805,"(sin(log(x78)) + sqrt(x168 + cos(x128))) + 5.7485485"
13,0.09338253,"5.638228 + (sqrt(cos(x128) + x168) + sin(log(x78 - x49)))"
14,0.07228024,"(x121 + 5.6749034) + cos(sin(sqrt(x28 * (x9 + 1.8798581))) / -0.51481074)"
18,0.04204266,"(cos(sin(sqrt((x9 + 1.9134539) * x28)) / -0.55032676) + (x121 + cos(cos(x28)))) + 4.74914"
24,0.039048947,"(x121 + (cos(sin(sqrt(x28 * (x9 + 1.9288495)))) / 0.3679722)) + (3.0303519 + cos(cos((sin(x45) + 1.7795821) * sin(x28))))"
25,0.035913296,"cos(cos((x68 * x92) + (sin(x28) * 1.7795821))) + ((x121 + (cos(sin(sqrt(x28 * (x9 + 1.9288495)))) / 0.3679722)) + 3.0303519)"
28,0.035239,"(cos(cos((cos(sin((x59 + 1.9288495) * x28)) + -0.8227411) - x28)) + 3.0303519) + (x121 + (cos(sin(sqrt((x9 + 1.9288495) * x28))) / 0.3679722))"
