Complexity,Loss,Equation
1,0.64192253,"6.5279636"
2,0.63085425,"log(x28)"
3,0.24147813,"x121 + 5.8613353"
4,0.22811519,"exp(x203) + 4.38248"
5,0.20574458,"5.593963 - (x114 * -1.401052)"
6,0.13796745,"(6.5874143 - cos(x59)) + x137"
7,0.10856011,"(x203 / (x45 * x105)) - -5.686911"
8,0.10828769,"(x203 / (x45 * sin(x105))) - -5.686911"
9,0.10340344,"5.6012983 - (x147 * (-1.1081934 / (x105 * x45)))"
10,0.084175535,"5.523168 - ((x147 / (x105 * sqrt(x18))) * -1.2754238)"
11,0.06162485,"((x107 * x114) / ((x45 * 2.382786) * x105)) - -5.5303035"
13,0.061175298,"((x203 / ((x45 * 2.1426728) * x105)) * (x107 + -0.31273434)) - -5.5377607"
14,0.057014994,"(-1.3456287 - x187) - (-6.8971734 - (x203 / (x105 * exp(x45 * 0.28659448))))"
15,0.03824709,"(5.5359645 - x187) - ((x129 * (x203 / ((x45 * x105) * -56.256447))) * x47)"
17,0.032263294,"5.5260653 - (x187 - (x47 * ((x129 * (x203 / (x105 * (x45 * -6.9720883)))) * -0.13208058)))"
19,0.021858728,"(5.594361 - x187) - (x203 * (((x132 + x129) * (x15 / (x105 * (x45 * -2.751041)))) + 0.44481993))"
20,0.019318528,"(5.5947223 - x187) - (x203 * (((x132 + (x129 * x15)) / ((x105 * x45) * -2.752798)) + sqrt(0.20214707)))"
21,0.01442925,"(5.594044 - x187) - (((((x15 / ((x105 * x45) * -2.6223977)) * x129) + 1.6054705) + (x47 * -0.0710205)) * x149)"
23,0.013873876,"((5.7835298 - x187) - (x149 * (((x129 * x15) / (x45 * (x105 * -2.745277))) + ((x47 * -0.06517847) + 1.3622209)))) - 0.2430149"
24,0.013377392,"(5.5379877 - x187) - ((((x15 / ((x105 * -2.653528) * x45)) * (x129 - sin(x133))) + ((x47 * -0.073702015) + 1.5721574)) * x149)"
25,0.013370359,"(5.53803 - x187) - (((((x15 / (x45 * (x105 * -2.6536562))) * ((x129 - x135) - 0.010137457)) + (x47 * -0.07371656)) + 1.5723932) * x149)"
27,0.012924841,"(5.531792 - x187) - (((((x15 / (x45 * (x105 * -2.4771328))) * ((x146 + (x129 - x135)) - 0.31635123)) + (x47 * -0.073891416)) + 1.5400138) * x149)"
