Complexity,Loss,Equation
1,0.64192253,"6.5280027"
2,0.63085425,"log(x28)"
3,0.24147813,"x121 + 5.8613353"
4,0.22811517,"exp(x114) + 4.382476"
5,0.20574458,"(x114 * 1.4010028) + 5.5939975"
7,0.172857,"(exp(sin(x41)) - x148) + 5.163091"
9,0.15465611,"((x121 - -0.3870832) / cos(cos(x168))) + 5.011422"
11,0.1097974,"((x121 - -0.3870832) / cos(cos(x0 / 0.09834093))) + 5.011422"
12,0.08414119,"((x121 - -0.39847237) / cos(sin(x130 * cos(x68)))) + 5.141798"
14,0.082868464,"((x121 - -0.39847237) / cos(cos(x98 * (x101 / cos(1.1251247))))) + 5.141798"
17,0.07011636,"x121 + (5.4725533 - (-0.10658739 / cos(x64 * (sin(0.49318713 - x143) + (-1.5121588 / x27)))))"
19,0.06460286,"((x121 - (-0.10658739 / cos(x64 * ((-1.5121588 / x27) + sin(0.49318713 - x143))))) - -0.1493921) + 5.2371655"
